url,df1_primaryScanStatus,df2_primaryScanStatus,df3_primaryScanStatus,df4_primaryScanStatus,df5_primaryScanStatus,df6_primaryScanStatus,df7_primaryScanStatus,df8_primaryScanStatus,df9_primaryScanStatus
secureete.ssa.gov,unknown_error,execution_context_destroyed,execution_context_destroyed,unknown_error,completed,execution_context_destroyed,unknown_error,execution_context_destroyed,completed
ohswebprod.grantsolutions.gov,completed,execution_context_destroyed,execution_context_destroyed,completed,execution_context_destroyed,completed,execution_context_destroyed,completed,execution_context_destroyed
qab.ama.gov,unknown_error,execution_context_destroyed,execution_context_destroyed,unknown_error,completed,execution_context_destroyed,unknown_error,unknown_error,unknown_error
webtools.ccmc.gsfc.nasa.gov,,execution_context_destroyed,unknown_error,completed,execution_context_destroyed,,,,
srcontracts.srs.gov,timeout,execution_context_destroyed,timeout,timeout,execution_context_destroyed,timeout,timeout,timeout,execution_context_destroyed
esound.epa.gov,completed,execution_context_destroyed,execution_context_destroyed,completed,completed,completed,completed,completed,execution_context_destroyed
nvdrs.cdc.gov,unknown_error,execution_context_destroyed,execution_context_destroyed,unknown_error,execution_context_destroyed,unknown_error,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed
enviroflash.epa.gov,completed,execution_context_destroyed,completed,completed,completed,completed,completed,completed,completed
afadvantage.gov,completed,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed,completed,execution_context_destroyed,execution_context_destroyed
secure.ssa.gov,completed,execution_context_destroyed,execution_context_destroyed,completed,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed,unknown_error,execution_context_destroyed
tableau.d2d.gsa.gov,timeout,execution_context_destroyed,timeout,timeout,unknown_error,timeout,timeout,unknown_error,unknown_error
research.rm.census.gov,completed,execution_context_destroyed,completed,completed,execution_context_destroyed,completed,completed,unknown_error,completed
artmstest.grantsolutions.gov,completed,execution_context_destroyed,execution_context_destroyed,completed,unknown_error,unknown_error,unknown_error,unknown_error,unknown_error
cg.sandia.gov,unknown_error,execution_context_destroyed,timeout,timeout,execution_context_destroyed,execution_context_destroyed,timeout,unknown_error,execution_context_destroyed
trn.dmcseddebt.ed.gov,completed,execution_context_destroyed,unknown_error,execution_context_destroyed,unknown_error,completed,execution_context_destroyed,execution_context_destroyed,unknown_error
newsroom.hrsa.gov,unknown_error,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed,unknown_error,completed,unknown_error,execution_context_destroyed,execution_context_destroyed
fpd.gsfc.nasa.gov,completed,execution_context_destroyed,execution_context_destroyed,completed,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed,execution_context_destroyed,completed
